Species;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;PictureNumberAll;IndividualPlantNumberAll;1366945452806__MICA-run1_OfficialScore_InverseRank;1366971577662__MICA-run2_OfficialScore_InverseRank;1367338673606__outputCLEFTestMean_OfficialScore_InverseRank;1367338771296__outputCLEFTestMax_OfficialScore_InverseRank;1367592085169__LAPI_run1_OfficialScore_InverseRank;1367925811122__plantnet_inria_run1_OfficialScore_InverseRank;1367926056487__plantnet_inria_run2_OfficialScore_InverseRank;1367926326223__plantnet_inria_run3_OfficialScore_InverseRank;1367946058774__LirisReVeS_run1_OfficialScore_InverseRank;1367946215062__LirisReVeS_run2_OfficialScore_InverseRank;1367974757413__SCG USP_run1_OfficialScore_InverseRank;1367975837452__SCG USP_run2_OfficialScore_InverseRank;1368002237443__AgSPPR_run1_OfficialScore_InverseRank;1368028158605__run_wiki_sum_3_OfficialScore_InverseRank;1368030128394__run_author10_GSP10_lire80_OfficialScore_InverseRank;1368030994722__run_lire_naivebayes_OfficialScore_InverseRank;1368031342488__run_wiki_max_1_OfficialScore_InverseRank;1368032808839__all_siftcopphsv_cca_OfficialScore_InverseRank;1368033933190__SCG USP_run3_OfficialScore_InverseRank;1368034466828__new_100_OfficialScore_InverseRank;1368038646069__DBISForMaT_run1_train2012_svm_Scan4_Photo2_1_2_3_OfficialScore_InverseRank;1368038721036__DBISForMaT_run2_train2012_svm_Scan12_Photo4_-_1_4_OfficialScore_InverseRank;1368041641333__run2_OfficialScore_InverseRank;1368041861286__run3_OfficialScore_InverseRank;1368045672892__DBISForMaT_run3_crossval2013_svm_feature4_config60_1_2_3_OfficialScore_InverseRank;1368045820175__DBISForMaT_run4_crossval2013_svm_feature5_config80_Photo14_1_3_3_OfficialScore_InverseRank;1368049985079__plantnet_inria_run4_OfficialScore_InverseRank;1368050270540__SCG USP_run4_OfficialScore_InverseRank;1368063045390__AgSPPR_run2_OfficialScore_InverseRank;1368066775910__AgSPPR_run3_OfficialScore_InverseRank;1368093262111__Run3_OfficialScore_InverseRank;1368163545166__Sabanci-Okan-Run1_OfficialScore_InverseRank;1368165605197__new2_100_OfficialScore_InverseRank;1366945452806__MICA-run1_OfficialScore_Top1AsImageCLEF2011;1366971577662__MICA-run2_OfficialScore_Top1AsImageCLEF2011;1367338673606__outputCLEFTestMean_OfficialScore_Top1AsImageCLEF2011;1367338771296__outputCLEFTestMax_OfficialScore_Top1AsImageCLEF2011;1367592085169__LAPI_run1_OfficialScore_Top1AsImageCLEF2011;1367925811122__plantnet_inria_run1_OfficialScore_Top1AsImageCLEF2011;1367926056487__plantnet_inria_run2_OfficialScore_Top1AsImageCLEF2011;1367926326223__plantnet_inria_run3_OfficialScore_Top1AsImageCLEF2011;1367946058774__LirisReVeS_run1_OfficialScore_Top1AsImageCLEF2011;1367946215062__LirisReVeS_run2_OfficialScore_Top1AsImageCLEF2011;1367974757413__SCG USP_run1_OfficialScore_Top1AsImageCLEF2011;1367975837452__SCG USP_run2_OfficialScore_Top1AsImageCLEF2011;1368002237443__AgSPPR_run1_OfficialScore_Top1AsImageCLEF2011;1368028158605__run_wiki_sum_3_OfficialScore_Top1AsImageCLEF2011;1368030128394__run_author10_GSP10_lire80_OfficialScore_Top1AsImageCLEF2011;1368030994722__run_lire_naivebayes_OfficialScore_Top1AsImageCLEF2011;1368031342488__run_wiki_max_1_OfficialScore_Top1AsImageCLEF2011;1368032808839__all_siftcopphsv_cca_OfficialScore_Top1AsImageCLEF2011;1368033933190__SCG USP_run3_OfficialScore_Top1AsImageCLEF2011;1368034466828__new_100_OfficialScore_Top1AsImageCLEF2011;1368038646069__DBISForMaT_run1_train2012_svm_Scan4_Photo2_1_2_3_OfficialScore_Top1AsImageCLEF2011;1368038721036__DBISForMaT_run2_train2012_svm_Scan12_Photo4_-_1_4_OfficialScore_Top1AsImageCLEF2011;1368041641333__run2_OfficialScore_Top1AsImageCLEF2011;1368041861286__run3_OfficialScore_Top1AsImageCLEF2011;1368045672892__DBISForMaT_run3_crossval2013_svm_feature4_config60_1_2_3_OfficialScore_Top1AsImageCLEF2011;1368045820175__DBISForMaT_run4_crossval2013_svm_feature5_config80_Photo14_1_3_3_OfficialScore_Top1AsImageCLEF2011;1368049985079__plantnet_inria_run4_OfficialScore_Top1AsImageCLEF2011;1368050270540__SCG USP_run4_OfficialScore_Top1AsImageCLEF2011;1368063045390__AgSPPR_run2_OfficialScore_Top1AsImageCLEF2011;1368066775910__AgSPPR_run3_OfficialScore_Top1AsImageCLEF2011;1368093262111__Run3_OfficialScore_Top1AsImageCLEF2011;1368163545166__Sabanci-Okan-Run1_OfficialScore_Top1AsImageCLEF2011;1368165605197__new2_100_OfficialScore_Top1AsImageCLEF2011;
Acer campestre;95;30;24;16;119;46;0,015;0,015;0,038;0,038;0,000;0,192;0,196;0,159;0,294;0,208;0,004;0,002;0,000;0,049;0,055;0,086;0,082;0,104;0,048;0,000;0,023;0,023;0,155;0,110;0,023;0,023;0,084;0,002;0,000;0,000;0,000;0,092;0,000;0,000;0,000;0,000;0,000;0,000;0,045;0,045;0,045;0,182;0,091;0,000;0,000;0,000;0,000;0,000;0,000;0,023;0,023;0,000;0,000;0,023;0,023;0,091;0,023;0,023;0,023;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Acer monspessulanum;81;15;15;13;96;28;0,065;0,068;0,042;0,042;0,000;0,049;0,049;0,082;0,278;0,280;0,000;0,001;0,000;0,023;0,021;0,018;0,017;0,186;0,032;0,000;0,000;0,000;0,156;0,041;0,000;0,000;0,063;0,072;0,000;0,000;0,031;0,009;0,000;0,062;0,062;0,042;0,042;0,000;0,000;0,000;0,031;0,250;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,000;0,000;0,000;0,000;0,125;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,031;0,000;0,000;
Acer negundo;155;11;82;11;237;22;0,003;0,012;0,172;0,167;0,004;0,330;0,364;0,344;0,087;0,082;0,004;0,002;0,000;0,286;0,311;0,159;0,089;0,407;0,074;0,000;0,180;0,190;0,512;0,409;0,033;0,197;0,390;0,008;0,000;0,000;0,002;0,073;0,000;0,000;0,000;0,143;0,155;0,002;0,275;0,286;0,268;0,000;0,000;0,000;0,000;0,000;0,157;0,171;0,025;0,033;0,303;0,000;0,000;0,180;0,190;0,467;0,347;0,033;0,197;0,356;0,006;0,000;0,000;0,000;0,027;0,000;
Acer opalus;44;8;7;5;51;13;0,006;0,006;0,000;0,000;0,125;0,059;0,058;0,034;0,320;0,323;0,000;0,000;0,000;0,029;0,035;0,024;0,023;0,070;0,003;0,000;0,000;0,000;0,065;0,110;0,000;0,000;0,025;0,000;0,000;0,000;0,000;0,171;0,000;0,000;0,000;0,000;0,000;0,125;0,000;0,000;0,000;0,250;0,250;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,125;0,000;
Acer platanoides;88;22;32;19;120;41;0,028;0,026;0,060;0,060;0,110;0,210;0,197;0,340;0,153;0,168;0,014;0,008;0,000;0,059;0,057;0,094;0,082;0,172;0,026;0,000;0,071;0,014;0,234;0,291;0,014;0,000;0,173;0,023;0,000;0,000;0,010;0,250;0,000;0,000;0,000;0,000;0,000;0,086;0,119;0,119;0,262;0,071;0,071;0,000;0,000;0,000;0,000;0,000;0,014;0,000;0,000;0,000;0,000;0,071;0,014;0,086;0,151;0,014;0,000;0,114;0,000;0,000;0,000;0,000;0,217;0,000;
Acer pseudoplatanus;102;12;35;18;137;30;0,001;0,000;0,002;0,003;0,000;0,067;0,063;0,087;0,259;0,248;0,157;0,056;0,000;0,025;0,022;0,044;0,049;0,094;0,048;0,000;0,042;0,042;0,126;0,263;0,042;0,042;0,143;0,006;0,000;0,000;0,001;0,012;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,167;0,039;0,000;0,000;0,000;0,000;0,000;0,000;0,026;0,000;0,000;0,042;0,042;0,026;0,188;0,042;0,042;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Acer saccharinum;37;2;8;2;45;4;0,036;0,036;0,000;0,000;0,000;0,029;0,032;0,020;0,033;0,063;0,000;0,000;0,000;0,036;0,030;0,026;0,044;0,040;0,002;0,000;0,000;0,000;0,032;0,155;0,000;0,000;0,011;0,005;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
Adonis annua;21;6;5;5;26;11;0,000;0,071;0,417;0,417;0,000;0,710;0,713;0,732;0,503;0,503;0,013;0,008;0,000;0,093;0,093;0,019;0,059;0,306;0,000;0,000;0,333;0,667;0,676;0,617;0,667;0,333;0,440;0,000;0,000;0,000;0,000;0,583;0,000;0,000;0,000;0,333;0,333;0,000;0,667;0,667;0,667;0,333;0,333;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,000;0,000;0,333;0,667;0,500;0,500;0,667;0,333;0,333;0,000;0,000;0,000;0,000;0,333;0,000;
Aesculus hippocastanum;182;25;48;25;230;50;0,014;0,040;0,071;0,062;0,067;0,491;0,541;0,447;0,087;0,122;0,095;0,165;0,000;0,161;0,167;0,273;0,116;0,571;0,130;0,000;0,075;0,143;0,591;0,606;0,143;0,048;0,369;0,022;0,000;0,000;0,084;0,153;0,000;0,000;0,018;0,000;0,000;0,030;0,379;0,435;0,339;0,000;0,071;0,024;0,083;0,000;0,036;0,036;0,208;0,048;0,520;0,006;0,000;0,075;0,143;0,498;0,506;0,143;0,048;0,313;0,000;0,000;0,000;0,071;0,077;0,000;
Agrimonia eupatoria;30;7;8;8;38;15;0,021;0,029;0,028;0,028;0,083;0,078;0,130;0,029;0,000;0,000;0,010;0,026;0,000;0,025;0,025;0,002;0,024;0,067;0,009;0,000;0,000;0,000;0,084;0,274;0,000;0,083;0,090;0,002;0,000;0,000;0,000;0,103;0,000;0,000;0,000;0,000;0,000;0,083;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,167;0,000;0,083;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
